,County,Year,Metro,State,Avg_Annual_Rent,Med_Annual_Income,County_Population,Rent_Income,Percent_AnnualRent_Change,Percent_Pop_Change,Percent_AnnualIncome_Change
695,"Dane County, Wisconsin",2015,"Madison, Wisconsin",Wisconsin,19104.35,65202,523643,0.293002515,0.045368798,0.014253783,0.058783411
696,"Dane County, Wisconsin",2016,"Madison, Wisconsin",Wisconsin,19246.675,70796,531273,0.271861051,0.007449874,0.014570996,0.085794914
697,"Dauphin County, Pennsylvania",2013,"Harrisburg, Pennsylvania",Pennsylvania,13025.94595,53816,270937,0.24204597,NA,NA,NA
698,"Dauphin County, Pennsylvania",2014,"Harrisburg, Pennsylvania",Pennsylvania,13564.97297,52975,271453,0.256063671,0.041381027,0.001904502,-0.015627323
699,"Dauphin County, Pennsylvania",2015,"Harrisburg, Pennsylvania",Pennsylvania,14260.78378,54232,272983,0.26295884,0.05129467,0.005636335,0.023728174
700,"Dauphin County, Pennsylvania",2016,"Harrisburg, Pennsylvania",Pennsylvania,14288.48649,60331,273707,0.236834902,0.001942579,0.00265218,0.112461277
701,"Davidson County, North Carolina",2013,"Winston-Salem, North Carolina",North Carolina,9595.2,38803,163420,0.247279849,NA,NA,NA
702,"Davidson County, North Carolina",2014,"Winston-Salem, North Carolina",North Carolina,10291.4,42201,164072,0.243866259,0.072557112,0.00398972,0.087570549
703,"Davidson County, North Carolina",2015,"Winston-Salem, North Carolina",North Carolina,10749.8,46150,164622,0.232931744,0.044542045,0.003352187,0.093575982
704,"Davidson County, North Carolina",2016,"Winston-Salem, North Carolina",North Carolina,10819,45678,164926,0.236853628,0.006437329,0.001846655,-0.010227519
705,"Davidson County, Tennessee",2013,"Nashville, Tennessee",Tennessee,37192.33333,47150,658602,0.788808766,NA,NA,NA
706,"Davidson County, Tennessee",2014,"Nashville, Tennessee",Tennessee,38223.33333,47993,668347,0.796435591,0.027720767,0.014796493,0.017879109
707,"Davidson County, Tennessee",2015,"Nashville, Tennessee",Tennessee,41297.33333,52026,678889,0.793782596,0.080422081,0.015773244,0.084033088
708,"Davidson County, Tennessee",2016,"Nashville, Tennessee",Tennessee,42682.83333,54855,684410,0.778102877,0.033549382,0.008132405,0.054376658
709,"Daviess County, Kentucky",2013,"Owensboro, Kentucky",Kentucky,10906.2,47252,98218,0.230809278,NA,NA,NA
710,"Daviess County, Kentucky",2014,"Owensboro, Kentucky",Kentucky,10596.4,41685,98275,0.254201751,-0.028405861,0.000580342,-0.117815119
711,"Daviess County, Kentucky",2015,"Owensboro, Kentucky",Kentucky,11600.2,48791,99259,0.237752864,0.094730286,0.010012719,0.170468994
712,"Daviess County, Kentucky",2016,"Owensboro, Kentucky",Kentucky,11692.8,51764,99674,0.225886717,0.007982621,0.004180981,0.060933369
713,"Davis County, Utah",2013,"Ogden, Utah",Utah,15852.6,70335,322094,0.225387076,NA,NA,NA
714,"Davis County, Utah",2014,"Ogden, Utah",Utah,16244.8,70440,329692,0.230618966,0.024740421,0.023589387,0.001492856
715,"Davis County, Utah",2015,"Ogden, Utah",Utah,16730.4,72016,336043,0.232315041,0.029892643,0.019263434,0.022373651
716,"Davis County, Utah",2016,"Ogden, Utah",Utah,17456.93333,76905,342281,0.226993477,0.043425939,0.018563101,0.067887692
717,"DeKalb County, Illinois",2013,"Chicago, Illinois",Illinois,15746.2,52867,104741,0.297845537,NA,NA,NA
718,"DeKalb County, Illinois",2014,"Chicago, Illinois",Illinois,15915.5,56450,105462,0.28193977,0.0107518,0.006883646,0.067773848
719,"DeKalb County, Illinois",2015,"Chicago, Illinois",Illinois,16657.5,55471,104352,0.300292044,0.046621218,-0.010525118,-0.017342781
720,"DeKalb County, Illinois",2016,"Chicago, Illinois",Illinois,15916.8,59285,104528,0.268479379,-0.044466457,0.001686599,0.068756648
721,"Delaware County, Indiana",2013,"Muncie, Indiana",Indiana,8577.285714,36402,117484,0.235626771,NA,NA,NA
722,"Delaware County, Indiana",2014,"Muncie, Indiana",Indiana,8689.285714,39323,117074,0.220972096,0.013057744,-0.003489837,0.080242844
723,"Delaware County, Indiana",2015,"Muncie, Indiana",Indiana,9113.571429,40606,116852,0.224439034,0.048828607,-0.001896237,0.032627216
724,"Delaware County, Indiana",2016,"Muncie, Indiana",Indiana,9525.142857,41041,115603,0.232088469,0.045160279,-0.010688734,0.010712703
725,"Delaware County, Ohio",2013,"Columbus, Ohio",Ohio,19905.66667,84159,184979,0.236524515,NA,NA,NA
726,"Delaware County, Ohio",2014,"Columbus, Ohio",Ohio,20846,96949,189113,0.215020268,0.04723948,0.022348483,0.151974239
727,"Delaware County, Ohio",2015,"Columbus, Ohio",Ohio,21646.5,96410,193013,0.224525464,0.038400652,0.020622591,-0.005559624
728,"Delaware County, Ohio",2016,"Columbus, Ohio",Ohio,21948.16667,101693,196463,0.215827704,0.013936048,0.017874444,0.05479722
729,"Delaware County, Pennsylvania",2013,"Philadelphia, Pennsylvania",Pennsylvania,19240.78431,64822,561973,0.29682491,NA,NA,NA
730,"Delaware County, Pennsylvania",2014,"Philadelphia, Pennsylvania",Pennsylvania,19519.62745,62993,562960,0.309869786,0.014492296,0.001756312,-0.028215729
731,"Delaware County, Pennsylvania",2015,"Philadelphia, Pennsylvania",Pennsylvania,19813,67584,563894,0.293161103,0.015029618,0.001659088,0.072881114
732,"Delaware County, Pennsylvania",2016,"Philadelphia, Pennsylvania",Pennsylvania,20309.41176,67950,563402,0.29888759,0.025054851,-0.000872504,0.005415483
733,"Denton County, Texas",2013,"Dallas-Fort Worth, Texas",Texas,19627.24,74981,728799,0.261762847,NA,NA,NA
734,"Denton County, Texas",2014,"Dallas-Fort Worth, Texas",Texas,20662,74196,753363,0.278478624,0.052720607,0.033704766,-0.010469319
735,"Denton County, Texas",2015,"Dallas-Fort Worth, Texas",Texas,21653.16,75649,780612,0.28623194,0.047970187,0.036169815,0.019583266
736,"Denton County, Texas",2016,"Dallas-Fort Worth, Texas",Texas,22085.44,80613,806180,0.273968715,0.01996383,0.032753788,0.065618845
737,"Denver County, Colorado",2013,"Denver, Colorado",Colorado,18198,51089,649495,0.356201922,NA,NA,NA
738,"Denver County, Colorado",2014,"Denver, Colorado",Colorado,20134,54941,663862,0.366465845,0.106385317,0.022120263,0.075397835
739,"Denver County, Colorado",2015,"Denver, Colorado",Colorado,22327,58003,682545,0.384928366,0.108920234,0.028142897,0.055732513
740,"Denver County, Colorado",2016,"Denver, Colorado",Colorado,23636,61105,693060,0.38680959,0.058628566,0.015405578,0.053479992
741,"Deschutes County, Oregon",2013,"Bend, Oregon",Oregon,13258.5,46791,165954,0.283355774,NA,NA,NA
742,"Deschutes County, Oregon",2014,"Bend, Oregon",Oregon,15376,52006,170388,0.295658193,0.159708866,0.026718247,0.111453057
743,"Deschutes County, Oregon",2015,"Bend, Oregon",Oregon,17405.75,57373,175268,0.303378767,0.132007674,0.028640515,0.103199631
744,"Deschutes County, Oregon",2016,"Bend, Oregon",Oregon,18867.25,61870,181307,0.304949895,0.083966505,0.034455805,0.078381817
745,"DeSoto County, Mississippi",2013,"Memphis, Mississippi",Mississippi,14069.66667,58959,168240,0.238634757,NA,NA,NA
746,"DeSoto County, Mississippi",2014,"Memphis, Mississippi",Mississippi,14644,58073,170913,0.252165378,0.040820678,0.015888017,-0.015027392
747,"DeSoto County, Mississippi",2015,"Memphis, Mississippi",Mississippi,15058.83333,60394,173323,0.249343202,0.02832787,0.014100741,0.039966938
748,"DeSoto County, Mississippi",2016,"Memphis, Mississippi",Mississippi,15395.83333,64505,175611,0.238676588,0.022378892,0.013200787,0.068069676
749,"Dodge County, Wisconsin",2013,"Beaver Dam, Wisconsin",Wisconsin,10633.9,51151,88344,0.207892319,NA,NA,NA
750,"Dodge County, Wisconsin",2014,"Beaver Dam, Wisconsin",Wisconsin,11118.1,53139,88574,0.209226745,0.045533624,0.002603459,0.03886532
751,"Dodge County, Wisconsin",2015,"Beaver Dam, Wisconsin",Wisconsin,11769.3,55832,88502,0.210798467,0.058571159,-0.00081288,0.050678409
752,"Dodge County, Wisconsin",2016,"Beaver Dam, Wisconsin",Wisconsin,12693.5,55856,88068,0.22725401,0.078526335,-0.004903844,0.000429861
753,"Dorchester County, South Carolina",2013,"Charleston, South Carolina",South Carolina,14898.66667,54582,145397,0.272959339,NA,NA,NA
754,"Dorchester County, South Carolina",2014,"Charleston, South Carolina",South Carolina,15386.66667,56277,148469,0.273409504,0.032754609,0.021128359,0.031054194
755,"Dorchester County, South Carolina",2015,"Charleston, South Carolina",South Carolina,16194.33333,54521,152478,0.297029279,0.052491334,0.02700227,-0.0312028
756,"Dorchester County, South Carolina",2016,"Charleston, South Carolina",South Carolina,16196.16667,57637,153773,0.281002944,0.000113208,0.008493029,0.05715229
757,"Dougherty County, Georgia",2013,"Albany, Georgia",Georgia,9214,30504,92969,0.302058746,NA,NA,NA
758,"Dougherty County, Georgia",2014,"Albany, Georgia",Georgia,8367,31755,92407,0.263486065,-0.091925331,-0.006045026,0.041011015
759,"Dougherty County, Georgia",2015,"Albany, Georgia",Georgia,9156,35645,91332,0.256866321,0.094299032,-0.011633318,0.122500394
760,"Dougherty County, Georgia",2016,"Albany, Georgia",Georgia,9270,37222,90017,0.249046263,0.012450852,-0.01439802,0.044241829
761,"Douglas County, Colorado",2013,"Denver, Colorado",Colorado,26799.44444,102961,305963,0.260287336,NA,NA,NA
762,"Douglas County, Colorado",2014,"Denver, Colorado",Colorado,28778.22222,103226,314638,0.278788505,0.073836522,0.028353102,0.00257379
763,"Douglas County, Colorado",2015,"Denver, Colorado",Colorado,30335.66667,107650,322387,0.28179904,0.054118855,0.024628303,0.04285742
764,"Douglas County, Colorado",2016,"Denver, Colorado",Colorado,30610.22222,109292,328632,0.280077428,0.009050586,0.019371128,0.015253135
765,"Douglas County, Georgia",2013,"Atlanta, Georgia",Georgia,12338.66667,50281,136379,0.245394218,NA,NA,NA
766,"Douglas County, Georgia",2014,"Atlanta, Georgia",Georgia,12681.33333,54826,138776,0.231301451,0.027771774,0.01757602,0.090391997
767,"Douglas County, Georgia",2015,"Atlanta, Georgia",Georgia,12757.33333,59329,140733,0.21502694,0.005993061,0.014101862,0.082132565
768,"Douglas County, Georgia",2016,"Atlanta, Georgia",Georgia,13422.66667,62445,142224,0.214951824,0.05215301,0.01059453,0.05252069
769,"Douglas County, Kansas",2013,"Lawrence, Kansas",Kansas,13383,52150,114322,0.25662512,NA,NA,NA
770,"Douglas County, Kansas",2014,"Lawrence, Kansas",Kansas,14193.66667,48565,116585,0.292261231,0.060574361,0.019794965,-0.068744008
771,"Douglas County, Kansas",2015,"Lawrence, Kansas",Kansas,14762.66667,52964,118053,0.278730207,0.040088302,0.012591671,0.090579636
772,"Douglas County, Kansas",2016,"Lawrence, Kansas",Kansas,15587,56345,119440,0.276635016,0.055839053,0.01174896,0.063835813
773,"Douglas County, Nebraska",2013,"Omaha, Nebraska",Nebraska,15669,51728,537256,0.302911383,NA,NA,NA
774,"Douglas County, Nebraska",2014,"Omaha, Nebraska",Nebraska,15736.8,52505,543244,0.299720027,0.004327015,0.011145525,0.015020878
775,"Douglas County, Nebraska",2015,"Omaha, Nebraska",Nebraska,16536.6,58359,550064,0.283359893,0.050823547,0.012554211,0.111494143
776,"Douglas County, Nebraska",2016,"Omaha, Nebraska",Nebraska,16712.6,58990,554995,0.283312426,0.010643058,0.008964411,0.010812385
777,"Douglas County, Oregon",2013,"Roseburg, Oregon",Oregon,10149.46154,40605,106940,0.249955955,NA,NA,NA
778,"Douglas County, Oregon",2014,"Roseburg, Oregon",Oregon,10144.23077,42000,106972,0.241529304,-0.000515374,0.000299233,0.034355375
779,"Douglas County, Oregon",2015,"Roseburg, Oregon",Oregon,10509.61538,41428,107685,0.25368387,0.036018957,0.006665296,-0.013619048
780,"Douglas County, Oregon",2016,"Roseburg, Oregon",Oregon,10914.46154,42889,108457,0.254481605,0.0385215,0.007169058,0.035266004
781,"Dubuque County, Iowa",2013,"Dubuque, Iowa",Iowa,14057.71429,51735,95697,0.271725414,NA,NA,NA
782,"Dubuque County, Iowa",2014,"Dubuque, Iowa",Iowa,14061.85714,56129,96370,0.250527484,0.000294703,0.007032613,0.084932831
783,"Dubuque County, Iowa",2015,"Dubuque, Iowa",Iowa,14613.14286,58487,97125,0.249852837,0.039204332,0.007834388,0.042010369
784,"Dubuque County, Iowa",2016,"Dubuque, Iowa",Iowa,13928,60456,97003,0.230382427,-0.046885387,-0.001256113,0.033665601
785,"Durham County, North Carolina",2013,"Durham, North Carolina",North Carolina,15589.33333,52488,288133,0.29700757,NA,NA,NA
786,"Durham County, North Carolina",2014,"Durham, North Carolina",North Carolina,15907,50504,294460,0.314965151,0.020377181,0.021958609,-0.037799116
787,"Durham County, North Carolina",2015,"Durham, North Carolina",North Carolina,16410.33333,53495,300952,0.306763872,0.031642254,0.022047137,0.059223032
788,"Durham County, North Carolina",2016,"Durham, North Carolina",North Carolina,16658,53832,306212,0.309444197,0.015092117,0.01747787,0.006299654
789,"Dutchess County, New York",2013,"New York, New York",New York,20598.03704,70056,296916,0.294022454,NA,NA,NA
790,"Dutchess County, New York",2014,"New York, New York",New York,20757.7037,71165,296579,0.291684166,0.007751548,-0.001135001,0.015830193
791,"Dutchess County, New York",2015,"New York, New York",New York,22382.62963,71864,295754,0.311458166,0.07828062,-0.002781721,0.009822244
792,"Dutchess County, New York",2016,"New York, New York",New York,22841.37037,74115,294473,0.308188226,0.020495391,-0.004331302,0.031323055
793,"Duval County, Florida",2013,"Jacksonville, Florida",Florida,15963.6,47906,885855,0.333227571,NA,NA,NA
794,"Duval County, Florida",2014,"Jacksonville, Florida",Florida,16927,45779,897698,0.369754691,0.060349796,0.013369005,-0.044399449
795,"Duval County, Florida",2015,"Jacksonville, Florida",Florida,18011.8,49554,913010,0.363478226,0.064086962,0.017056961,0.082461391
796,"Duval County, Florida",2016,"Jacksonville, Florida",Florida,18904.4,51980,926255,0.363686033,0.049556402,0.01450696,0.048956694
797,"East Baton Rouge County, Louisiana",2013,"Baton Rouge, Louisiana",Louisiana,14475,48463,445227,0.298681468,NA,NA,NA
798,"East Baton Rouge County, Louisiana",2014,"Baton Rouge, Louisiana",Louisiana,14708.6,46778,446042,0.314434136,0.016138169,0.001830527,-0.034768793
799,"East Baton Rouge County, Louisiana",2015,"Baton Rouge, Louisiana",Louisiana,15826.4,50519,446753,0.313276193,0.075996356,0.00159402,0.079973492
800,"East Baton Rouge County, Louisiana",2016,"Baton Rouge, Louisiana",Louisiana,15693.8,50508,447037,0.310719094,-0.008378406,0.000635698,-0.00021774
801,"Eaton County, Michigan",2013,"Lansing, Michigan",Michigan,11112.44444,53328,108348,0.208379171,NA,NA,NA
802,"Eaton County, Michigan",2014,"Lansing, Michigan",Michigan,11994.66667,57087,108579,0.210112051,0.079390473,0.002132019,0.070488299
803,"Eaton County, Michigan",2015,"Lansing, Michigan",Michigan,13363.44444,56005,108801,0.238611632,0.114115533,0.002044594,-0.018953527
804,"Eaton County, Michigan",2016,"Lansing, Michigan",Michigan,13407.66667,56211,109160,0.238523895,0.003309193,0.003299602,0.003678243
805,"Eau Claire County, Wisconsin",2013,"Eau Claire, Wisconsin",Wisconsin,12691.83333,49204,101438,0.257943121,NA,NA,NA
806,"Eau Claire County, Wisconsin",2014,"Eau Claire, Wisconsin",Wisconsin,12598.83333,47043,101564,0.267815261,-0.007327547,0.001242138,-0.043919194
807,"Eau Claire County, Wisconsin",2015,"Eau Claire, Wisconsin",Wisconsin,12217.83333,51667,102105,0.236472668,-0.030240895,0.005326691,0.098293051
808,"Eau Claire County, Wisconsin",2016,"Eau Claire, Wisconsin",Wisconsin,13050.33333,49821,102965,0.261944428,0.068138104,0.008422702,-0.035728802
809,"El Dorado County, California",2013,"Sacramento, California",California,18396.91667,61365,181737,0.299794943,NA,NA,NA
810,"El Dorado County, California",2014,"Sacramento, California",California,18989.08333,71113,183087,0.267026891,0.032188365,0.007428317,0.158852766
811,"El Dorado County, California",2015,"Sacramento, California",California,20104.75,79019,184452,0.254429314,0.058753055,0.007455472,0.111175172
812,"El Dorado County, California",2016,"Sacramento, California",California,21689.5,75772,185625,0.286246899,0.078824656,0.006359378,-0.041091383
813,"El Paso County, Colorado",2013,"Colorado Springs, Colorado",Colorado,16618.38462,57098,655044,0.291050205,NA,NA,NA
814,"El Paso County, Colorado",2014,"Colorado Springs, Colorado",Colorado,17133.84615,59446,663519,0.288225384,0.031017548,0.012938062,0.041122281
815,"El Paso County, Colorado",2015,"Colorado Springs, Colorado",Colorado,18010.15385,60109,674471,0.299624912,0.051144833,0.016505933,0.011152979
816,"El Paso County, Colorado",2016,"Colorado Springs, Colorado",Colorado,18764.76923,63882,688284,0.293741104,0.041899441,0.020479754,0.062769302
817,"El Paso County, Texas",2013,"El Paso, Texas",Texas,11568.07143,39945,827718,0.289599986,NA,NA,NA
818,"El Paso County, Texas",2014,"El Paso, Texas",Texas,11712.5,40170,833487,0.291573313,0.012485104,0.006969765,0.005632745
819,"El Paso County, Texas",2015,"El Paso, Texas",Texas,11742,43692,835593,0.26874485,0.002518677,0.002526734,0.087677371
820,"El Paso County, Texas",2016,"El Paso, Texas",Texas,11548.5,42165,837918,0.273888296,-0.016479305,0.002782455,-0.03494919
821,"Elkhart County, Indiana",2013,"Elkhart, Indiana",Indiana,11761,45387,200563,0.259127063,NA,NA,NA
822,"Elkhart County, Indiana",2014,"Elkhart, Indiana",Indiana,11438,49937,201971,0.229048601,-0.027463651,0.007020238,0.10024897
823,"Elkhart County, Indiana",2015,"Elkhart, Indiana",Indiana,13035.375,49556,203474,0.263043325,0.139655097,0.007441662,-0.007629613
824,"Elkhart County, Indiana",2016,"Elkhart, Indiana",Indiana,13705.75,54216,203781,0.252798989,0.051427366,0.001508792,0.094035031
825,"Ellis County, Texas",2013,"Dallas-Fort Worth, Texas",Texas,14709.4,57880,155976,0.254136144,NA,NA,NA
826,"Ellis County, Texas",2014,"Dallas-Fort Worth, Texas",Texas,15593.6,60294,159317,0.258626066,0.060111221,0.021419962,0.04170698
827,"Ellis County, Texas",2015,"Dallas-Fort Worth, Texas",Texas,16173.2,68095,163632,0.237509362,0.037169095,0.027084366,0.129382691
828,"Ellis County, Texas",2016,"Dallas-Fort Worth, Texas",Texas,17142.5,70210,168499,0.244160376,0.059932481,0.029743571,0.031059549
829,"Elmore County, Alabama",2013,"Montgomery, Alabama",Alabama,11411,50699,80902,0.225073473,NA,NA,NA
830,"Elmore County, Alabama",2014,"Montgomery, Alabama",Alabama,12203.25,55530,80977,0.219759589,0.069428622,0.000927048,0.095287876
831,"Elmore County, Alabama",2015,"Montgomery, Alabama",Alabama,11679.625,52502,81468,0.222460573,-0.042908651,0.00606345,-0.054529083
832,"Elmore County, Alabama",2016,"Montgomery, Alabama",Alabama,11413.5,52579,81799,0.217073356,-0.022785406,0.004062945,0.001466611
833,"Erie County, New York",2013,"Buffalo, New York",New York,14684.9,51245,919866,0.286562591,NA,NA,NA
834,"Erie County, New York",2014,"Buffalo, New York",New York,15297.025,50132,922835,0.305134944,0.041683975,0.003227644,-0.021719192
835,"Erie County, New York",2015,"Buffalo, New York",New York,16305.525,52214,922578,0.312282625,0.065927852,-0.00027849,0.04153036
836,"Erie County, New York",2016,"Buffalo, New York",New York,16545.425,54246,921046,0.305007282,0.014712804,-0.001660564,0.038916766
837,"Erie County, Ohio",2013,"Sandusky, Ohio",Ohio,13242.75,46073,76048,0.287429731,NA,NA,NA
838,"Erie County, Ohio",2014,"Sandusky, Ohio",Ohio,13600.125,48734,75828,0.279068515,0.026986464,-0.00289291,0.05775617
839,"Erie County, Ohio",2015,"Sandusky, Ohio",Ohio,14024.625,47544,75550,0.294982017,0.031212948,-0.003666192,-0.024418271
840,"Erie County, Ohio",2016,"Sandusky, Ohio",Ohio,13973.625,48949,75107,0.285473146,-0.003636461,-0.005863666,0.029551573
841,"Erie County, Pennsylvania",2013,"Erie, Pennsylvania",Pennsylvania,12856,44292,280294,0.290255577,NA,NA,NA
842,"Erie County, Pennsylvania",2014,"Erie, Pennsylvania",Pennsylvania,12365.57143,45560,278443,0.271412894,-0.038147835,-0.00660378,0.028628195
843,"Erie County, Pennsylvania",2015,"Erie, Pennsylvania",Pennsylvania,13143.47619,47386,278045,0.277370451,0.062908921,-0.001429377,0.040079017
844,"Erie County, Pennsylvania",2016,"Erie, Pennsylvania",Pennsylvania,12987.7619,48964,276207,0.265251244,-0.011847268,-0.006610441,0.033300975
845,"Escambia County, Florida",2013,"Pensacola, Florida",Florida,10722.4,42877,305817,0.250073466,NA,NA,NA
846,"Escambia County, Florida",2014,"Pensacola, Florida",Florida,11241.2,46655,310659,0.240943093,0.04838469,0.015832998,0.088112508
847,"Escambia County, Florida",2015,"Pensacola, Florida",Florida,11951.6,46001,311003,0.259811743,0.0631961,0.001107323,-0.01401779
848,"Escambia County, Florida",2016,"Pensacola, Florida",Florida,12014.2,44788,315187,0.268245959,0.005237792,0.013453246,-0.026368992
849,"Essex County, Massachusetts",2013,"Boston, Massachusetts",Massachusetts,23511.30303,67522,762550,0.348202112,NA,NA,NA
850,"Essex County, Massachusetts",2014,"Boston, Massachusetts",Massachusetts,24007.30303,70366,769091,0.3411776,0.021096236,0.008577798,0.042119605
851,"Essex County, Massachusetts",2015,"Boston, Massachusetts",Massachusetts,26029.18182,68455,776043,0.380237847,0.084219322,0.009039242,-0.027158002
852,"Essex County, Massachusetts",2016,"Boston, Massachusetts",Massachusetts,27693,73901,779018,0.374731059,0.063921263,0.00383355,0.079555913
853,"Essex County, New Jersey",2013,"New York, New Jersey",New Jersey,27190.52174,53610,789565,0.507191228,NA,NA,NA
854,"Essex County, New Jersey",2014,"New York, New Jersey",New Jersey,27765.6087,54754,795723,0.507097357,0.021150273,0.007799231,0.021339302
855,"Essex County, New Jersey",2015,"New York, New Jersey",New Jersey,30034.65217,52041,797434,0.577134417,0.081721366,0.002150246,-0.049548891
856,"Essex County, New Jersey",2016,"New York, New Jersey",New Jersey,31269.34783,54277,796914,0.576106782,0.041109038,-0.000652092,0.042966123
857,"Etowah County, Alabama",2013,"Gadsden, Alabama",Alabama,10539.28571,39459,103931,0.267094597,NA,NA,NA
858,"Etowah County, Alabama",2014,"Gadsden, Alabama",Alabama,10823.14286,40529,103531,0.267046876,0.026933243,-0.003848707,0.027116754
859,"Etowah County, Alabama",2015,"Gadsden, Alabama",Alabama,10451.57143,43346,103057,0.241119629,-0.034331195,-0.004578339,0.069505786
860,"Etowah County, Alabama",2016,"Gadsden, Alabama",Alabama,10874.71429,41152,102564,0.264257248,0.040486051,-0.00478376,-0.050615974
861,"Fairfax County, Virginia",2013,"Washington, Virginia",Virginia,30529.375,111079,1130924,0.274843805,NA,NA,NA
862,"Fairfax County, Virginia",2014,"Washington, Virginia",Virginia,30629.04167,110674,1137538,0.27675011,0.003264615,0.005848315,-0.003646054
863,"Fairfax County, Virginia",2015,"Washington, Virginia",Virginia,30911.29167,113208,1142234,0.273048651,0.00921511,0.004128214,0.022896073
864,"Fairfax County, Virginia",2016,"Washington, Virginia",Virginia,31181.95833,115717,1138652,0.269467393,0.008756239,-0.00313596,0.022162745
865,"Fairfield County, Connecticut",2013,"Stamford, Connecticut",Connecticut,32913.5,82084,939904,0.400973393,NA,NA,NA
866,"Fairfield County, Connecticut",2014,"Stamford, Connecticut",Connecticut,33165.5,85925,945438,0.385981961,0.007656433,0.005887835,0.046793529
867,"Fairfield County, Connecticut",2015,"Stamford, Connecticut",Connecticut,34374.63636,86414,948053,0.397790131,0.036457655,0.002765914,0.00569101
868,"Fairfield County, Connecticut",2016,"Stamford, Connecticut",Connecticut,34933.5,90123,944177,0.387620252,0.016258023,-0.004088379,0.042921286
869,"Fairfield County, Ohio",2013,"Columbus, Ohio",Ohio,14550.1,56286,148867,0.258503003,NA,NA,NA
870,"Fairfield County, Ohio",2014,"Columbus, Ohio",Ohio,14581.9,59933,150381,0.243303355,0.002185552,0.010170152,0.064794087
871,"Fairfield County, Ohio",2015,"Columbus, Ohio",Ohio,15467.9,61291,151408,0.252368211,0.060760258,0.00682932,0.022658635
872,"Fairfield County, Ohio",2016,"Columbus, Ohio",Ohio,15142.2,65316,152597,0.231829873,-0.021056511,0.007852954,0.065670327
873,"Faulkner County, Arkansas",2013,"Little Rock, Arkansas",Arkansas,11546.2,49149,119580,0.234922379,NA,NA,NA
874,"Faulkner County, Arkansas",2014,"Little Rock, Arkansas",Arkansas,11193.4,51650,120768,0.21671636,-0.030555507,0.009934772,0.050886081
875,"Faulkner County, Arkansas",2015,"Little Rock, Arkansas",Arkansas,11642,50596,121552,0.230097241,0.040077188,0.006491786,-0.020406583
876,"Faulkner County, Arkansas",2016,"Little Rock, Arkansas",Arkansas,11365.2,48506,122227,0.234305034,-0.023775984,0.005553179,-0.041307613
877,"Fauquier County, Virginia",2013,"Washington, Virginia",Virginia,19905.375,82823,67207,0.24033632,NA,NA,NA
878,"Fauquier County, Virginia",2014,"Washington, Virginia",Virginia,20273,91987,68248,0.220389838,0.01846863,0.015489458,0.110645594
879,"Fauquier County, Virginia",2015,"Washington, Virginia",Virginia,20300.125,91940,68782,0.220797531,0.001337986,0.007824405,-0.000510942
880,"Fauquier County, Virginia",2016,"Washington, Virginia",Virginia,20247.75,94347,69069,0.214609368,-0.002580033,0.004172603,0.026180117
881,"Fayette County, Georgia",2013,"Atlanta, Georgia",Georgia,19204.75,81394,108365,0.235947981,NA,NA,NA
882,"Fayette County, Georgia",2014,"Atlanta, Georgia",Georgia,20367.25,77016,109664,0.264454789,0.0605319,0.011987265,-0.053787748
883,"Fayette County, Georgia",2015,"Atlanta, Georgia",Georgia,20915.75,78557,110714,0.266249348,0.026930489,0.009574701,0.020008829
884,"Fayette County, Georgia",2016,"Atlanta, Georgia",Georgia,21236,80626,111627,0.263388981,0.015311428,0.008246473,0.026337564
885,"Fayette County, Kentucky",2013,"Lexington, Kentucky",Kentucky,12822,47535,308428,0.269738088,NA,NA,NA
886,"Fayette County, Kentucky",2014,"Lexington, Kentucky",Kentucky,12930,47968,310797,0.269554703,0.008423023,0.007680885,0.009109078
887,"Fayette County, Kentucky",2015,"Lexington, Kentucky",Kentucky,13765,51948,314488,0.264976515,0.0645785,0.011875919,0.082971981
888,"Fayette County, Kentucky",2016,"Lexington, Kentucky",Kentucky,14277,53178,318449,0.268475685,0.037195786,0.012595075,0.023677524
889,"Fayette County, Pennsylvania",2013,"Pittsburgh, Pennsylvania",Pennsylvania,11919.6875,38903,134999,0.306395072,NA,NA,NA
890,"Fayette County, Pennsylvania",2014,"Pittsburgh, Pennsylvania",Pennsylvania,11578.28125,36562,134086,0.316675271,-0.028642215,-0.006763013,-0.060175308
891,"Fayette County, Pennsylvania",2015,"Pittsburgh, Pennsylvania",Pennsylvania,11928.1875,40495,133628,0.294559514,0.030220915,-0.003415718,0.107570702
892,"Fayette County, Pennsylvania",2016,"Pittsburgh, Pennsylvania",Pennsylvania,11653.0625,43140,132733,0.270121987,-0.023065114,-0.006697698,0.065316706
893,"Flagler County, Florida",2013,"Daytona Beach, Florida",Florida,13370.33333,46055,99956,0.290312308,NA,NA,NA
894,"Flagler County, Florida",2014,"Daytona Beach, Florida",Florida,13929,51622,102408,0.269826818,0.041784049,0.024530794,0.120877212
895,"Flagler County, Florida",2015,"Daytona Beach, Florida",Florida,15142,48864,105392,0.309880485,0.0870845,0.029138349,-0.053426834
896,"Flagler County, Florida",2016,"Daytona Beach, Florida",Florida,16232.33333,49395,108310,0.328623005,0.072007221,0.027687111,0.010866896
897,"Flathead County, Montana",2013,"Kalispell, Montana",Montana,14096,47802,93068,0.294883059,NA,NA,NA
